"currently_testing","site","water_body","borough_state","neighborhood_town","latitude","longitude","last_sampled","district_council_number","x2021_lab_analysis_by"
true,"Flushing Meadows-Corona Park, Meadow Lake","Lake","Queens","Flushing Meadows-Corona Park",40.7375594,-73.83879,2022,"24","Queens College"
false,"Flushing Meadows-Corona Park, Willow Lake","Lake","Queens","Flushing Meadows-Corona Park",40.728539,-73.83408,2014,"24",
false,"Gowanus Canal, 2nd Avenue Salt Lot","Gowanus Canal","Brooklyn","Gowanus",40.675486,-73.990887,2021,"39","Interstate Environmental Commission"
true,"Gowanus Canal, 2nd Street Sponge Park","Gowanus Canal","Brooklyn","Gowanus",40.6768139,-73.989916,2023,"39","Billion Oyster Project's Williamsburg Field Station"
false,"Gowanus Canal, Bond Street","Gowanus Canal","Brooklyn","Gowanus",40.6761467,-73.992577,2018,"39",
false,"Gowanus Canal, Carroll Street","Gowanus Canal","Brooklyn","Gowanus",40.6783319,-73.989314,2019,"39",
false,"Gowanus Canal, Denton's Pond Outfall","Gowanus Canal","Brooklyn","Gowanus",40.676586,-73.98961,2013,"39",
true,"Gowanus Canal, Lowlands Nursery","Gowanus Canal","Brooklyn","Gowanus",40.674423,-73.996425,2023,"39",
true,"Gravesend Bay, Bath Beach","Gravesend Bay","Brooklyn","Bath Beach",,,2024,,
true,"Gravesend Bay, Calvert Vaux Cove","Gravesend Bay","Brooklyn","Gravesend",40.5853425,-73.9983789,2024,"47",
true,"Hackensack River, Bayonne City Park","Hackensack River","New Jersey","Bayonne",40.662968,-74.133458,2022,"N/A","Interstate Environmental Commission"
true,"Hackensack River, Laurel Hill Park","Hackensack River","New Jersey","Secaucus",40.763925,-74.08723,2022,"N/A","Interstate Environmental Commission"
true,"Hackensack River, Ridgefield Park","Hackensack River","New Jersey","Ridgefield Park",40.859316,-74.032318,2022,"N/A","Interstate Environmental Commission"
true,"Hackensack River, River Barge Park","Hackensack River","New Jersey","Carlstadt",40.807001,-74.0571,2022,"N/A","Interstate Environmental Commission"
true,"Hackensack River, Rutkowski Park","Hackensack River","New Jersey","Bayonne",40.688829,-74.112276,2022,"N/A","Interstate Environmental Commission"
false,"Harlem River, High Bridge","Harlem River","Bronx","Highbridge",40.842404,-73.929444,2018,"16",
false,"Harlem River, Lincoln Avenue 1","Harlem River","Bronx","Mott Haven",40.806018,-73.930089,2018,"8",
true,"Harlem River, Lincoln Avenue 2","Harlem River","Bronx","Mott Haven",40.806394,-73.9303903,2023,"8",
true,"Harlem River, Little Hell Gate","Harlem River","Manhattan","Randalls Island",40.7910125,-73.927415,2022,"8",
false,"Harlem River, Muscota Marsh","Harlem River","Manhattan","Inwood",40.874568,-73.917539,2019,"10",
false,"Harlem River, North Cove","Harlem River","Manhattan","Inwood",40.864361,-73.915912,2019,"10",
false,"Harlem River, North Cove Spring","Harlem River","Manhattan","Inwood",40.864388,-73.915755,2013,"10",
false,"Harlem River, Swindlers Cove/Peter J. Sharpe Boathouse","Harlem River","Manhattan","Fort George",40.856102,-73.922073,2019,"10",
true,"Harlem River, Water's Edge Garden","Harlem River","Manhattan","Randalls Island",40.78917,-73.93277,2022,"8",
false,"Hudson River, Beczak Beach #1","Hudson River","Yonkers","Northwest Yonkers",40.9566318,-73.89769,2011,"N/A",
false,"Hudson River, Beczak Beach #2","Hudson River","Yonkers","Northwest Yonkers",40.9566318,-73.89769,2011,"N/A",
true,"Hudson River, Frank Sinatra Park","Hudson River","New Jersey","Hoboken",40.7413476,-74.025702,2022,"N/A","Hudson River Park's River Project"
true,"Hudson River, Gansevoort Peninsula, North","Hudson River","Manhattan","Meatpacking",40.740726,-74.009682,2023,"3",
true,"Hudson River, Gansevoort Peninsula, South","Hudson River","Manhattan","Meatpacking",40.7391216,-74.010559,2023,"3","Hudson River Park's River Project"
true,"Hudson River, Gansevoort Peninsula South – Middle","Hudson River","Manhattan","Meatpacking",40.739174,-74.010909,2023,"3",
true,"Hudson River, Gansevoort Peninsula South – Ramp","Hudson River","Manhattan","Meatpacking",40.739183,-74.011194,2023,"3",
true,"Hudson River, Hoboken Cove Beach","Hudson River","New Jersey","Hoboken",40.748265,-74.023647,2022,"N/A","Hudson River Park's River Project"
false,"Hudson River, Inwood Canoe Club","Hudson River","Manhattan","Inwood",40.8674926,-73.932915,2019,"10",
true,"Hudson River, JFK Marina","Hudson River","Yonkers","Northwest Yonkers",40.9566318,-73.89769,2022,"N/A","Sarah Lawrence Center for the Urban River at Beczak"
true,"Hudson River, Pier 13","Hudson River","New Jersey","Hoboken",40.751744,-74.022864,2022,"N/A","Hudson River Park's River Project"
true,"Hudson River, Pier 26","Hudson River","Manhattan","Tribeca",40.7215745,-74.013557,2022,"1","Hudson River Park's River Project"
true,"Hudson River, Pier 40","Hudson River","Manhattan","West Village",40.728249,-74.013786,2022,"3","Hudson River Park's River Project"
true,"Hudson River, Pier 66","Hudson River","Manhattan","Hudson Yards",40.752502,-74.00898,2022,"3","Hudson River Park's River Project"
true,"Hudson River, Pier 84","Hudson River","Manhattan","Hell's Kitchen",40.764275,-74.002129,2023,"3","Hudson River Park's River Project"
true,"Hudson River, Pier 96","Hudson River","Manhattan","Hell's Kitchen",40.771322,-73.995991,2023,"3","Hudson River Park's River Project"
