currently_testing,site,water_body,borough_state,neighborhood_town,latitude,longitude,last_sampled,district_council_number,2021_lab_analysis_by:,closest_tide_area,closest_tide_Name,closest_tide_Id,closest_tide_Lat,closest_tide_Lon,closest_tide_Predictions,closest_tide_dist
TRUE,"East River, North 3rd Street",East River,Brooklyn,Williamsburg,40.718943,-73.965741,2022,33,Billion Oyster Project's Williamsburg Field Station,East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic,0.8337630550806917
FALSE,"East River, Pier 1 (Brooklyn Bridge Park)",East River,Brooklyn,Brooklyn Heights,40.700789,-73.996922,2013,33,NA,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.32281460908145665
TRUE,"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",East River,Brooklyn,Brooklyn Heights,40.699967,-73.99807,2022,33,St. Francis College,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.4520282495211636
TRUE,"East River, Pier 4 Beach (Brooklyn Bridge Park)",East River,Brooklyn,Brooklyn Heights,40.6968031,-73.99888,2022,33,St. Francis College,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.7930192558317518
TRUE,"East River, Pier 35 (+POOL), Mid-Pier",East River,Manhattan,Lower East Side,40.709865,-73.988629,2023,1,Billion Oyster Project's Williamsburg Field Station,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.9062504368200164
TRUE,"East River, Pier 35 (+POOL), End-Pier",East River,Manhattan,Lower East Side,40.709208,-73.988505,2023,1,NA,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.8551641700308042
FALSE,"East River, Pier 42/Jackson Street",East River,Manhattan,Lower East Side,40.7103,-73.980614,2017,2,NA,East River,"Wallabout Bay, Brooklyn Navy Yard",8517732,40.7067,-73.975,Subordinate,0.6198090114142968
FALSE,"East River, South 3rd Street/Domino Park",East River,Brooklyn,Williamsburg,40.7142915,-73.968192,2019,33,NA,East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic,0.28830538848431725
TRUE,"East River, South 5th Street/Domino Park",East River,Brooklyn,Williamsburg,40.7130241,-73.968714,2022,33,Billion Oyster Project's Williamsburg Field Station,East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic,0.15131162455808214
FALSE,"East River, Stuyvesant Cove",East River,Manhattan,Kips Bay,40.7333646,-73.973866,2020,4,NA,East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate,1.262966277877529
FALSE,"East River, SUNY Maritime Campus Entrance (IT)",East River,Bronx,Throgs Neck,40.8091363,-73.802703,2021,13,SUNY Maritime Marine Environmental Science lab,"Long Island Sound, north side","Throgs Neck, Fort Schuyler",8518526,40.805,-73.795,Harmonic,0.7948986706097011
FALSE,"East River, SUNY Maritime Waterfront Center (MAR)",East River,Bronx,Throgs Neck,40.8048868,-73.794356,2021,13,SUNY Maritime Marine Environmental Science lab,"Long Island Sound, north side","Throgs Neck, Fort Schuyler",8518526,40.805,-73.795,Harmonic,0.055646343811625164
TRUE,"East River, Wallabout Channel (Brooklyn Navy Yard)",East River,Brooklyn,Brooklyn Navy Yard,40.7055253,-73.970263,2022,33,Billion Oyster Project's Williamsburg Field Station,East River,"Wallabout Bay, Brooklyn Navy Yard",8517732,40.7067,-73.975,Subordinate,0.4201176534047152
TRUE,"East River, WNYC Transmitter Park",East River,Brooklyn,Greenpoint,40.730086,-73.961404,2023,33,NA,East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate,1.10266858063406
TRUE,"Flushing Bay, 28th Avenue (Big Rock Beach)",Flushing Bay,Queens,College Point,40.771964,-73.85035,2022,19,Queens College,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,1.2191484476501977
TRUE,"Flushing Bay, World's Fair Marina Boat Ramp",Flushing Bay,Queens,Elmhurst,40.7634239,-73.843532,2022,21,Queens College,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,0.638147500510855
TRUE,"Flushing Bay, World's Fair Marina Pier 1 East",Flushing Bay,Queens,Elmhurst,40.760445,-73.849571,2022,21,Queens College,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,0.09318563703686913
FALSE,"Flushing Bay, World's Fair Marina Pier 1 West",Flushing Bay,Queens,Elmhurst,40.7598868,-73.85146,2021,21,Queens College,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,0.15261887535266686
TRUE,Flushing Creek,Flushing Creek,Queens,Flushing,40.760543,-73.836458,2022,20,Queens College,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,1.175346353388481
TRUE,"Flushing Meadows-Corona Park, Meadow Lake",Lake,Queens,Flushing Meadows-Corona Park,40.7375594,-73.83879,2022,24,Queens College,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,2.7839204309493635
FALSE,"Flushing Meadows-Corona Park, Willow Lake",Lake,Queens,Flushing Meadows-Corona Park,40.728539,-73.83408,2014,24,NA,East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic,3.862476599141995
FALSE,"Gowanus Canal, 2nd Avenue Salt Lot",Gowanus Canal,Brooklyn,Gowanus,40.675486,-73.990887,2021,39,Interstate Environmental Commission,New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate,2.2209621667926664
TRUE,"Gowanus Canal, 2nd Street Sponge Park",Gowanus Canal,Brooklyn,Gowanus,40.6768139,-73.989916,2023,39,Billion Oyster Project's Williamsburg Field Station,New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate,2.369606116560711
FALSE,"Gowanus Canal, Bond Street",Gowanus Canal,Brooklyn,Gowanus,40.6761467,-73.992577,2018,39,NA,New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate,2.142622010143816
FALSE,"Gowanus Canal, Carroll Street",Gowanus Canal,Brooklyn,Gowanus,40.6783319,-73.989314,2019,39,NA,New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate,2.507934685312534
FALSE,"Gowanus Canal, Denton's Pond Outfall",Gowanus Canal,Brooklyn,Gowanus,40.676586,-73.98961,2013,39,NA,New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate,2.3773025636808383
TRUE,"Gowanus Canal, Lowlands Nursery",Gowanus Canal,Brooklyn,Gowanus,40.674423,-73.996425,2023,39,NA,New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate,1.7673202668676233
TRUE,"Gravesend Bay, Calvert Vaux Cove",Gravesend Bay,Brooklyn,Gravesend,40.5853425,-73.9983789,2023,47,NA,New York Harbor,"Norton Point, Gravesend Bay",8517811,40.59,-73.9983,Subordinate,0.5179332249379418
TRUE,"Hackensack River, Bayonne City Park",Hackensack River,New Jersey,Bayonne,40.662968,-74.133458,2022,N/A,Interstate Environmental Commission,Kill Van Kull,Port Elizabeth,8530882,40.6733,-74.14,Subordinate,1.2744924035644185
TRUE,"Hackensack River, Laurel Hill Park",Hackensack River,New Jersey,Secaucus,40.763925,-74.08723,2022,N/A,Interstate Environmental Commission,Hackensack River,Amtrak RR. swing bridge,8530696,40.7517,-74.0967,Subordinate,1.576094716197474
TRUE,"Hackensack River, Ridgefield Park",Hackensack River,New Jersey,Ridgefield Park,40.859316,-74.032318,2022,N/A,Interstate Environmental Commission,Hackensack River,Ridgefield Park,8530398,40.85,-74.03,Subordinate,1.0540775115044136
TRUE,"Hackensack River, River Barge Park",Hackensack River,New Jersey,Carlstadt,40.807001,-74.0571,2022,N/A,Interstate Environmental Commission,Hackensack River,"Carlstadt, Garretts Reach",8530528,40.8067,-74.06,Subordinate,0.24636352997910888
TRUE,"Hackensack River, Rutkowski Park",Hackensack River,New Jersey,Bayonne,40.688829,-74.112276,2022,N/A,Interstate Environmental Commission,Kill Van Kull,Port Newark Terminal,8530884,40.69,-74.1333,Subordinate,1.7773952391341976
FALSE,"Harlem River, High Bridge",Harlem River,Bronx,Highbridge,40.842404,73.929444,2018,16,NA,Hudson River,Troy,TEC1603,42.7167,-73.7,Subordinate,10171.96728608866
FALSE,"Harlem River, Lincoln Avenue 1",Harlem River,Bronx,Mott Haven,40.806018,-73.930089,2018,8,NA,East River,"Harlem River, Randalls Island",8518643,40.8,-73.9283,Harmonic,0.6859040741240255
TRUE,"Harlem River, Lincoln Avenue 2",Harlem River,Bronx,Mott Haven,40.806394,-73.9303903,2023,8,NA,East River,"Harlem River, Randalls Island",8518643,40.8,-73.9283,Harmonic,0.732426186226314
TRUE,"Harlem River, Little Hell Gate",Harlem River,Manhattan,Randalls Island,40.7910125,-73.927415,2022,8,NA,East River,"Hell Gate, Wards Island",8517401,40.7867,-73.9217,Subordinate,0.6792925113708171
FALSE,"Harlem River, Muscota Marsh",Harlem River,Manhattan,Inwood,40.874568,-73.917539,2019,10,NA,Hudson River,"Spuyten Duyvil Creek ent., N.Y.",8518903,40.8783,-73.925,Subordinate,0.7521379132104034
FALSE,"Harlem River, North Cove",Harlem River,Manhattan,Inwood,40.864361,73.915912,2019,10,NA,Hudson River,Troy,TEC1603,42.7167,-73.7,Subordinate,10169.274889979617
FALSE,"Harlem River, North Cove Spring",Harlem River,Manhattan,Inwood,40.864388,-73.915755,2013,10,NA,Hudson River,"Dyckman Street, Ferry Slip",8518902,40.8683,-73.9333,Harmonic,1.538146731909937
FALSE,"Harlem River, Swindlers Cove/Peter J. Sharpe Boathouse",Harlem River,Manhattan,Fort George,40.856102,-73.922073,2019,10,NA,Hudson River,"Dyckman Street, Ferry Slip",8518902,40.8683,-73.9333,Harmonic,1.6526017802920274
TRUE,"Harlem River, Water's Edge Garden",Harlem River,Manhattan,Randalls Island,40.78917,-73.93277,2022,8,NA,East River,"Hell Gate, Wards Island",8517401,40.7867,-73.9217,Subordinate,0.9716028047487284
FALSE,"Hudson River, Beczak Beach #1",Hudson River,Yonkers,Northwest Yonkers,40.9566318,-73.89769,2011,N/A,NA,Hudson River,"Alpine, N.J.",8530095,40.945,-73.9183,Subordinate,2.1607445669302785
FALSE,"Hudson River, Beczak Beach #2",Hudson River,Yonkers,Northwest Yonkers,40.9566318,-73.89769,2011,N/A,NA,Hudson River,"Alpine, N.J.",8530095,40.945,-73.9183,Subordinate,2.1607445669302785
TRUE,"Hudson River, Frank Sinatra Park",Hudson River,New Jersey,Hoboken,40.7413476,-74.025702,2022,N/A,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.7029220917131958
TRUE,"Hudson River, Gansevoort Peninsula, North",Hudson River,Manhattan,Meatpacking,40.740726,-74.009682,2023,3,NA,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.7950593026867256
TRUE,"Hudson River, Gansevoort Peninsula, South",Hudson River,Manhattan,Meatpacking,40.7391216,-74.010559,2023,3,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.950501573455713
TRUE,"Hudson River, Gansevoort Peninsula South – Middle",Hudson River,Manhattan,Meatpacking,40.739174,-74.010909,2023,3,NA,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.938431775803265
TRUE,"Hudson River, Gansevoort Peninsula South – Ramp",Hudson River,Manhattan,Meatpacking,40.739183,-74.011194,2023,3,NA,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,2.9324594510280764
TRUE,"Hudson River, Hoboken Cove Beach",Hudson River,New Jersey,Hoboken,40.748265,-74.023647,2022,N/A,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,1.914572321635409
FALSE,"Hudson River, Inwood Canoe Club",Hudson River,Manhattan,Inwood,40.8674926,-73.932915,2019,10,NA,Hudson River,"Dyckman Street, Ferry Slip",8518902,40.8683,-73.9333,Harmonic,0.09543738474560753
TRUE,"Hudson River, JFK Marina",Hudson River,Yonkers,Northwest Yonkers,40.9566318,-73.89769,2022,N/A,Sarah Lawrence Center for the Urban River at Beczak,Hudson River,"Alpine, N.J.",8530095,40.945,-73.9183,Subordinate,2.1607445669302785
TRUE,"Hudson River, Pier 13",Hudson River,New Jersey,Hoboken,40.751744,-74.022864,2022,N/A,Hudson River Park's River Project,Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate,1.5233015673529848
