area,Name,Id,Lat,Lon,Predictions
Hempstead Bay,"Long Beach, Bridgewater Yacht Club, New York",8516663,40.5963,-73.6551,Harmonic
Hempstead Bay,"Bay Park, Hewlett Bay",8516661,40.63,-73.67,Harmonic
Hempstead Bay,"Woodmere, Brosewere Bay",8516745,40.62,-73.6983,Subordinate
Hempstead Bay,"East Rockaway Inlet, Atlantic Beach",8516881,40.595,-73.7433,Harmonic
Jamaica Bay,"Kingsborough, Sheepshead Bay",8517756,40.5812,-73.9338,Harmonic
Jamaica Bay,Plumb Beach Channel,8517531,40.585,-73.925,Subordinate
Jamaica Bay,"Barren Island, Rockaway Inlet",8517394,40.5783,-73.8883,Subordinate
Jamaica Bay,Beach Channel (bridge),8517137,40.5883,-73.82,Subordinate
Jamaica Bay,Motts Basin,8516925,40.6167,-73.7583,Subordinate
Jamaica Bay,"Norton Point, Head of Bay",8516891,40.635,-73.7467,Harmonic
Jamaica Bay,J.F.K. International Airport,8516999,40.6233,-73.7833,Subordinate
Jamaica Bay,"North Channel Bridge, Grassy Bay",8517201,40.645,-73.8367,Harmonic
Jamaica Bay,Canarsie,8517381,40.63,-73.885,Subordinate
Jamaica Bay,Mill Basin,8517519,40.6083,-73.9217,Subordinate
New York Harbor,Coney Island,8517741,40.57,-73.9833,Subordinate
New York Harbor,"Norton Point, Gravesend Bay",8517811,40.59,-73.9983,Subordinate
New York Harbor,"Fort Wadsworth, The Narrows",8519024,40.6067,-74.055,Subordinate
New York Harbor,"Fort Hamilton, The Narrows",8517942,40.6083,-74.035,Subordinate
New York Harbor,USCG Station NY,8519050,40.612,-74.0599,Harmonic
New York Harbor,"St. George, Staten Island",8519112,40.6433,-74.0733,Subordinate
New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate
New York Harbor,NEW YORK (The Battery),8518750,40.7006,-74.0142,Harmonic
Hudson River,"Weehawken, Union City, N.J.",8530645,40.765,-74.0183,Subordinate
Hudson River,"Edgewater, N.J.",8530505,40.8133,-73.9783,Subordinate
Hudson River,"Dyckman Street, Ferry Slip",8518902,40.8683,-73.9333,Harmonic
Hudson River,"Spuyten Duyvil Creek ent., N.Y.",8518903,40.8783,-73.925,Subordinate
Hudson River,"Riverdale, N.Y.",8518905,40.9033,-73.9167,Subordinate
Hudson River,"Alpine, N.J.",8530095,40.945,-73.9183,Subordinate
Hudson River,Tarrytown,8518919,41.0783,-73.87,Subordinate
Hudson River,Haverstraw,8518924,41.2183,-73.9633,Harmonic
Hudson River,Peekskill,8518949,41.2883,-73.9317,Subordinate
Hudson River,Newburgh,8518935,41.5,-74.0067,Subordinate
Hudson River,"Beacon, Flushkill",8518934,41.5,-73.9833,Harmonic
Hudson River,New Hamburg,8518939,41.5833,-73.95,Subordinate
Hudson River,Poughkeepsie,8518945,41.7,-73.9333,Subordinate
Hudson River,Hyde Park,8518951,41.7833,-73.95,Harmonic
Hudson River,Kingston,8518993,41.9183,-73.9833,Subordinate
Hudson River,"TURKEY POINT, HUDSON RIVER",8518962,42.0139,-73.9392,Harmonic
Hudson River,Tivoli,8518964,42.0583,-73.9167,Subordinate
Hudson River,Hudson,8518974,42.25,-73.8,Subordinate
Hudson River,Castleton,8518989,42.5333,-73.7667,Subordinate
Hudson River,ALBANY,8518995,42.65,-73.7467,Harmonic
Hudson River,Troy,TEC1603,42.7167,-73.7,Subordinate
Kill Van Kull,Constable Hook,8530985,40.655,-74.085,Subordinate
Kill Van Kull,"Bayonne Bridge, Bergen Point",8519483,40.6391,-74.1463,Harmonic
Kill Van Kull,Port Elizabeth,8530882,40.6733,-74.14,Subordinate
Kill Van Kull,Port Newark Terminal,8530884,40.69,-74.1333,Subordinate
Passaic River,Point No Point,8530743,40.7317,-74.1167,Subordinate
Passaic River,Belleville,8530591,40.7867,-74.1467,Subordinate
Passaic River,East Rutherford,8530403,40.8467,-74.12,Subordinate
Hackensack River,Kearny Point,8530772,40.7283,-74.1033,Subordinate
Hackensack River,Amtrak RR. swing bridge,8530696,40.7517,-74.0967,Subordinate
Hackensack River,"Fish Creek, Berrys Creek",8530586,40.7933,-74.0917,Subordinate
Hackensack River,"Carlstadt, Garretts Reach",8530528,40.8067,-74.06,Subordinate
Hackensack River,"North Secaucus, Garretts Reach",8530531,40.805,-74.0533,Subordinate
Hackensack River,Ridgefield Park,8530398,40.85,-74.03,Subordinate
Hackensack River,Hackensack,8530278,40.88,-74.04,Subordinate
Hackensack River,New Millford,8530186,40.935,-74.03,Subordinate
Arthur Kill,"Port Ivory, Howland Hook, N.Y.",8519200,40.645,-74.18,Subordinate
Arthur Kill,"Rahway River, RR. Bridge",8531077,40.5983,-74.2317,Subordinate
Arthur Kill,Chelsea,TEC1645,40.6,-74.2,Subordinate
Arthur Kill,Carteret,8531095,40.5867,-74.21,Subordinate
Arthur Kill,"Rossville, N.Y.",8519789,40.5567,-74.2233,Subordinate
Arthur Kill,"Port Reading, Arthur Kill",8531142,40.555,-74.245,Harmonic
Arthur Kill,"Woodbridge Creek, 0.8 n.mi. above entrance",8531156,40.545,-74.265,Subordinate
"Lower New York Bay, Raritan Bay, etc.",Great Kills Harbor,8519436,40.5433,-74.14,Harmonic
"Lower New York Bay, Raritan Bay, etc.",Princes Bay,8519726,40.5117,-74.2,Subordinate
Raritan River,South Amboy,8531232,40.4917,-74.2817,Subordinate
Raritan River,Keasbey,8531262,40.5083,-74.3117,Harmonic
Raritan River,Sayreville,8531390,40.4783,-74.3567,Harmonic
Raritan River,"Old Bridge, South River",8531369,40.4167,-74.3633,Harmonic
Raritan River,New Brunswick,8531463,40.4883,-74.435,Harmonic
Raritan River,"Cheesequake Creek, Garden State Parkway",8531223,40.4533,-74.2733,Harmonic
Raritan River,Keyport,8531545,40.44,-74.1983,Subordinate
Raritan River,"Matawan Creek, Route 35 bridge",8531526,40.4333,-74.2183,Subordinate
Raritan River,Waackaack Creek,8531592,40.4483,-74.1433,Subordinate
